start_date,start_time,end_time,event_type,address,address2,city,state,zip
2026-02-20,15:00,17:00,Tax Time,5906 S Vermont Ave,,Los Angeles,CA,90044
2026-02-21,11:00,13:00,Tax Time,3852 Peck Rd,,El Monte,CA,91732
2026-02-21,17:00,19:00,Tax Time,705 S Alvarado St,,Los Angeles,CA,90057
2026-02-21,11:00,13:00,Tax Time,827 S Vermont Ave,,Los Angeles,CA,90005
2026-02-27,15:00,17:00,Tax Time,1363 E 4th St,Suite B,Ontario,CA,91764
2026-02-27,15:00,17:00,Tax Time,1405 N Citrus Ave,,Covina,CA,91722
2026-02-27,15:00,17:00,Tax Time,8401 Van Nuys Blvd,Suite 54,Panorama City,CA,91402
2026-02-28,16:00,18:00,Tax Time,1500 E Florence Ave,Unit B,Los Angeles,CA,90001
2026-02-28,12:00,14:00,Tax Time,2148 S Bristol St,Ste B,Santa Ana,CA,92704
2026-02-28,11:00,13:00,Tax Time,6440 Pacific Blvd,,Huntington Park,CA,90255
2026-03-06,13:00,15:00,Tax Time,10012 Sierra Ave,,Fontana,CA,92335
2026-03-06,15:00,17:00,Tax Time,12843 Harbor Blvd,E2,Garden Grove,CA,92840
2026-03-06,15:00,17:00,Tax Time,2238 E Cesar E Chavez Ave,,Los Angeles,CA,90033
2026-03-07,16:00,18:00,Tax Time,11123 Long Beach Blvd,Unit 4,Lynwood,CA,90262
2026-03-07,16:00,18:00,Tax Time,12537 E Carson St,,Hawaiian Gardens,CA,90716
2026-03-07,11:00,13:00,Tax Time,2530 S San Pedro St,,Los Angeles,CA,90011
2026-03-07,16:00,18:00,Tax Time,2818 Saviers Rd,,Oxnard,CA,93033
2026-03-07,11:00,13:00,Tax Time,4149 Tweedy Blvd,M,South Gate,CA,90280
2026-03-13,15:00,17:00,Tax Time,4900 Irvine Blvd,Unit 104,Irvine,CA,92620
2026-03-13,15:00,17:00,Tax Time,8116 Long Beach Blvd,A,South Gate,CA,90280
2026-03-14,11:00,13:00,Tax Time,11994 Foothill Blvd,,Lake View Terrace,CA,91342
2026-03-14,11:00,13:00,Tax Time,225 S State College Blvd,,Anaheim,CA,92806
2026-03-14,16:00,18:00,Tax Time,7903 Knott Ave,A,Buena Park,CA,90620
2026-03-20,15:00,17:00,Tax Time,1038 E Avenue J,D11,Lancaster,CA,93535
2026-03-20,15:00,17:00,Tax Time,1550 W Rosecrans Ave,,Compton,CA,90220
2026-03-21,16:00,18:00,Tax Time,621 S Broadway,Unit A,Los Angeles,CA,90014
2026-03-21,11:00,13:00,Tax Time,8843 Rosecrans Ave,Suite B,Downey,CA,90242
2026-03-21,13:00,15:00,Tax Time,1730 E 17th St,B,Santa Ana,CA,92705
2026-02-27,16:00,18:00,Tax Time,104 San Pablo Towne Ctr,,San Pablo,CA,94806
2026-02-27,16:00,18:00,Tax Time,2748 Mission St,,San Francisco,CA,94110
2026-02-28,15:00,17:00,Tax Time,607 Broadway,,San Francisco,CA,94133
2026-03-06,16:00,18:00,Tax Time,1675 Tully Rd,,San Jose,CA,95122
2026-03-06,16:00,18:00,Tax Time,330 Bellam Blvd,,San Rafael,CA,94901
2026-03-07,12:00,14:00,Tax Time,4620 Mission St,,San Francisco,CA,94112
2026-03-07,12:00,14:00,Tax Time,930 23rd St,B,Richmond,CA,94804
2026-03-13,16:00,18:00,Tax Time,2979 Jefferson St,,Napa,CA,94558
2026-03-14,16:30,18:30,Tax Time,3355 Sonoma Blvd,30,Vallejo,CA,94590
2026-03-14,12:00,14:00,Tax Time,711 Stony Point Rd,10,Santa Rosa,CA,95407
2026-02-27,16:00,18:00,Tax Time,6332 Florin Rd,,Sacramento,CA,95823
2026-02-27,15:00,17:00,Tax Time,550 S Cherokee Ln,,Lodi,CA,95240
2026-02-27,15:00,17:00,Tax Time,5583 Mack Rd,,Sacramento,CA,95823
2026-02-28,12:00,14:00,Tax Time,2407 Northgate Blvd,,Sacramento,CA,95833
2026-02-28,12:00,14:00,Tax Time,1955 W Texas St,3,Fairfield,CA,94533
2026-02-28,12:00,14:00,Tax Time,751 E Monte Vista Ave,B,Vacaville,CA,95688
2026-03-06,15:00,17:00,Tax Time,1650 E Hatch Rd,E,Modesto,CA,95351
2026-03-06,15:00,17:00,Tax Time,514 E Yosemite Ave,,Manteca,CA,95336
2026-03-06,15:00,17:00,Tax Time,616 W Hammer Ln,H,Stockton,CA,95207
2026-03-07,16:00,18:00,Tax Time,10345 Folsom Blvd,B,Rancho Cordova,CA,95670
2026-03-07,12:00,14:00,Tax Time,3655 Elkhorn Blvd,,North Highlands,CA,95660
2026-03-13,17:00,19:00,Tax Time,2151 N Texas St,,Fairfield,CA,94533
2026-03-13,15:00,17:00,Tax Time,2923 W Capitol Ave,,West Sacramento,CA,95691
2026-03-14,12:00,14:00,Tax Time,1215 Colusa Ave,C313,Yuba City,CA,95991
2026-03-14,16:00,18:00,Tax Time,1326 Fulton Ave,,Sacramento,CA,95825
2026-03-20,17:00,19:00,Tax Time,340 Travis Blvd,Ste 5,Fairfield,CA,94533
2026-03-20,15:00,17:00,Tax Time,4950 Pacific Ave,500,Stockton,CA,95207
2026-03-27,15:00,17:00,Tax Time,525 N Golden State Blvd,,Turlock,CA,95380
2026-03-28,12:00,14:00,Tax Time,1540 E March Ln,B4,Stockton,CA,95210
2026-03-28,16:00,18:00,Tax Time,353 W Charter Way,Suite B,Stockton,CA,95206
2026-02-27,15:00,17:00,Tax Time,6952 Linda Vista Rd,,San Diego,CA,92111
2026-02-28,16:00,18:00,Tax Time,674 E San Ysidro Blvd,B,San Diego,CA,92173
2026-03-06,15:00,17:00,Tax Time,342 W San Ysidro Blvd,Suite H,San Diego,CA,92173
2026-03-07,12:00,14:00,Tax Time,1021 N Santa Fe Ave,E,Vista,CA,92084
2026-03-14,12:00,14:00,Tax Time,2058 E Valley Pkwy,,Escondido,CA,92027
2026-03-15,16:00,18:00,Tax Time,727 E San Ysidro Blvd,D,San Diego,CA,92173
2026-02-27,16:00,18:00,Tax Time,235 N Eastern Ave,#112,Las Vegas,NV,89101
2026-02-28,15:00,17:00,Tax Time,400 N Nellis Blvd,Ste J2,Las Vegas,NV,89110
2026-03-06,16:00,18:00,Tax Time,3300 S Jones Blvd,101,Las Vegas,NV,89146
2026-03-07,12:00,14:00,Tax Time,4576 E Tropicana Ave,,Las Vegas,NV,89121
2026-03-13,15:00,17:00,Tax Time,2801 W Washington Ave,Suite 120,Las Vegas,NV,89107
2026-03-14,15:00,17:00,Tax Time,3395 E Tropicana,Suite 100b,Las Vegas,NV,89121
2026-02-21,12:00,14:00,Tax Time,1276 E Dundee Rd,,Palatine,IL,60074
2026-02-27,16:30,18:30,Tax Time,200 S Neltnor Blvd,Unit 100,West Chicago,IL,60185
2026-02-27,16:30,18:30,Tax Time,639 W Lincoln Hwy,,Chicago Heights,IL,60411
2026-02-27,16:00,18:00,Tax Time,902 Bode Rd,,Schaumburg,IL,60194
2026-02-28,12:00,14:00,Tax Time,17663 Torrence Ave,,Lansing,IL,60438
2026-02-28,12:00,14:00,Tax Time,3966 W Grand Ave,,Chicago,IL,60651
2026-02-28,16:00,18:00,Tax Time,4801 W Armitage Ave,,Chicago,IL,60639
2026-02-28,16:30,18:30,Tax Time,602 Torrence Ave,,Calumet City,IL,60409
2026-02-28,12:00,14:00,Tax Time,229 W Grand Ave,Suite E,Bensenville,IL,60106
2026-03-01,12:00,14:00,Tax Time,4640-a W Diversey Ave,,Chicago,IL,60639
2026-03-06,16:30,18:30,Tax Time,13140 Cicero Ave,750b,Crestwood,IL,60445
2026-03-07,12:00,14:00,Tax Time,5601 W Belmont Ave,,Chicago,IL,60634
2026-03-07,16:30,18:30,Tax Time,6500 W Irving Park Rd,,Chicago,IL,60634
2026-03-07,16:30,18:30,Tax Time,7961 S Cicero Ave,,Chicago,IL,60652
2026-03-07,12:00,14:00,Tax Time,9606 S Cicero Ave,,Oak Lawn,IL,60453
2026-03-12,12:00,14:00,Tax Time,6726 N Clark St,,Chicago,IL,60626
2026-03-13,16:30,18:30,Tax Time,1774 W Algonquin Rd,,Mt Prospect,IL,60056
2026-03-13,16:30,18:30,Tax Time,4301 S Ashland Ave,,Chicago,IL,60609
2026-03-14,12:00,14:00,Tax Time,4547 N Broadway Ave,Unit B,Chicago,IL,60640
2026-03-14,12:00,14:00,Tax Time,2819 W 55th St,,Chicago,IL,60632
2026-03-14,12:00,14:00,Tax Time,3248 W Lawrence Ave,,Chicago,IL,60625
2026-03-14,16:00,18:00,Tax Time,4705 N Pulaski Road,Suite 104,Chicago,IL,60630
2026-03-14,16:30,18:30,Tax Time,5858 S Kedzie Ave,,Chicago,IL,60629
2026-03-20,16:30,18:30,Tax Time,18226 Kedzie Ave,,Hazel Crest,IL,60429
2026-03-20,16:30,18:30,Tax Time,77 Clock Tower Plaza,,Elgin,IL,60120
2026-03-21,12:00,14:00,Tax Time,2601 W 95th St,Unit A,Evergreen Park,IL,60805
2026-03-21,16:30,18:30,Tax Time,2317 S Cicero Ave,Suite A,Cicero,IL,60804
2026-03-21,16:00,18:00,Tax Time,313 Howard St,Ste 315,Evanston,IL,60202
2026-03-27,16:30,18:30,Tax Time,3735 W 26th Street,,Chicago,IL,60623
2026-02-27,15:00,17:00,Tax Time,3253 Buford Hwy,Suite 780,Atlanta,GA,30329
2026-02-27,16:00,18:00,Tax Time,1500 Pleasant Hill Rd,110,Duluth,GA,30096
2026-02-28,15:00,17:00,Tax Time,1085 Holcomb Bridge Rd,140,Roswell,GA,30076
2026-02-28,12:00,14:00,Tax Time,2470 Mlk Jr Dr SW,B,Atlanta,GA,30311
2026-02-28,12:00,14:00,Tax Time,4650 Jimmy Carter Blvd,,Norcross,GA,30093
2026-03-06,14:00,16:00,Tax Time,5658 Riverdale Rd,U,Atlanta,GA,30349
2026-03-07,16:30,18:30,Tax Time,5855 Buford Hwy NE,F,Doraville,GA,30340
2026-03-07,16:30,18:30,Tax Time,1985 Campbellton Rd SW,4,Atlanta,GA,30311
2026-03-07,12:00,14:00,Tax Time,2841 Greenbriar Pkwy SW,N450,Atlanta,GA,30331
2026-03-07,16:30,18:30,Tax Time,2078 Beaver Ruin Rd,Suite 400,Norcross,GA,30071
2026-03-07,12:00,14:00,Tax Time,5209 Buford Hwy NE,Suite #58,Doraville,GA,30340
2026-03-07,12:00,14:00,Tax Time,5944 Buford Hwy,Unit 2,Norcross,GA,30071
2026-03-13,12:00,14:00,Tax Time,65 Lawrenceville Suwanee Rd,12,Lawrenceville,GA,30044
2026-03-13,12:00,14:00,Tax Time,971 N Hairston Rd,A-10,Stone Mountain,GA,30083
2026-03-13,12:00,14:00,Tax Time,8438 Hospital Dr,,Douglasville,GA,30134
2026-03-14,16:30,18:30,Tax Time,1245 Veterans Memorial Hwy Sw,31,Mableton,GA,30126
2026-03-14,16:30,18:30,Tax Time,1241 Moreland Ave SE,D,Atlanta,GA,30316
2026-03-14,12:00,14:00,Tax Time,504 Atlanta Hwy,,Gainesville,GA,30501
2026-03-14,12:00,14:00,Tax Time,4140 Jonesboro Rd,A3-4,Forest Park,GA,30297
2026-03-14,12:00,14:00,Tax Time,3565 Austell Rd SW,Unit 1025,Marietta,GA,30008
2026-02-27,16:00,18:00,Tax Time,25857 Lahser Rd,,Southfield,MI,48033
2026-02-28,16:00,18:00,Tax Time,9701 Harper Ave,Unit A,Detroit,MI,48213
2026-03-06,16:30,18:30,Tax Time,3631 Miller Rd,,Flint,MI,48503
2026-03-06,16:30,18:30,Tax Time,20577 15 Mile Rd,,Clinton Township,MI,48035
2026-03-07,16:30,18:30,Tax Time,12029 Woodward Ave,,Highland Park,MI,48203
2026-03-07,12:00,14:00,Tax Time,50 E Walton Blvd,,Pontiac,MI,48340
2026-03-07,16:00,18:00,Tax Time,759 Baldwin Ave,,Pontiac,MI,48340
2026-03-07,16:30,18:30,Tax Time,15371 Merriman Rd,,Livonia,MI,48154
2026-03-07,12:00,14:00,Tax Time,25043 Grand River Ave,,Redford,MI,48240
2026-03-07,12:00,14:00,Tax Time,25429 Van Dyke Ave,,Center Line,MI,48015
2026-03-07,12:00,14:00,Tax Time,14331 Livernois Ave,,Detroit,MI,48238
2026-03-07,16:00,18:00,Tax Time,7584 E 9 Mile Rd,102,Warren,MI,48091
2026-03-13,12:00,14:00,Tax Time,7431 W Vernor Hwy,C,Detroit,MI,48209
2026-03-13,16:30,18:30,Tax Time,35824 Van Dyke Ave,,Sterling Hts,MI,48312
2026-03-13,17:00,19:00,Tax Time,30538 23 Mile Rd,Unit 1,Chesterfield,MI,48047
2026-03-13,16:30,18:30,Tax Time,35705 Van Born Rd,,Romulus,MI,48174
2026-03-14,16:30,18:30,Tax Time,4659 Washtenaw Ave,,Ann Arbor,MI,48108
2026-03-14,16:30,18:30,Tax Time,22816 John R Rd,,Hazel Park,MI,48030
2026-03-14,12:00,14:00,Tax Time,28668 Dequindre Rd,,Warren,MI,48092
2026-03-14,16:30,18:30,Tax Time,6097 Rawsonville Rd,,Belleville,MI,48111
2026-03-14,16:00,18:00,Tax Time,39075 Garfield Rd,,Clinton Twp,MI,48038
2026-03-14,12:00,14:00,Tax Time,395 N Groesbeck Hwy,Ste C,Mount Clemens,MI,48043
2026-03-14,16:00,18:00,Tax Time,1887 Southfield Rd,,Lincoln Park,MI,48146
2026-03-14,16:00,18:00,Tax Time,27353 Cherry Hill Rd,,Inkster,MI,48141
2026-03-20,16:30,18:30,Tax Time,10001 Telegraph Rd,,Redford,MI,48239
2026-03-20,16:30,18:30,Tax Time,163 N Telegraph Rd,,Waterford,MI,48328
2026-03-21,16:00,18:00,Tax Time,6865 Michigan Ave,,Detroit,MI,48210
2026-03-21,12:00,14:00,Tax Time,17724 Frazho Rd,,Roseville,MI,48066
2026-03-21,12:00,14:00,Tax Time,5845 W Vernor Hwy,,Detroit,MI,48209
2026-03-21,12:00,14:00,Tax Time,12730 W 7 Mile Rd,Unit A,Detroit,MI,48235
2026-02-27,16:00,18:00,Tax Time,4732 Marigold Ave,,Kissimmee,FL,34758
2026-02-28,12:00,14:00,Tax Time,1270 N Wickham Rd,11,Melbourne,FL,32935
2026-03-06,16:00,18:00,Tax Time,1428 N Woodland Blvd,130-007,Deland,FL,32720
2026-03-07,16:00,18:00,Tax Time,3665 S Orlando Dr,,Sanford,FL,32773
2026-03-13,16:00,18:00,Tax Time,240 Kersey St,,Davenport,FL,33897
2026-03-14,12:00,14:00,Tax Time,1235 Providence Blvd,13,Deltona,FL,32725
2026-03-06,15:00,17:00,Tax Time,7420 N Beach St,224,Fort Worth,TX,76137
2026-03-14,12:00,14:00,Tax Time,320 S Nursery Rd,,Irving,TX,75060
2026-03-20,15:00,17:00,Tax Time,2625 Old Denton Rd,,Carrollton,TX,75007
2026-03-14,17:00,19:00,Tax Time,3200 S Lancaster Rd,760,Dallas,TX,75216
2026-03-14,12:00,14:00,Tax Time,800 Ross Ave,Ste 180,Dallas,TX,75202
2026-03-14,17:00,19:00,Tax Time,3012 Inwood Rd,C,Dallas,TX,75235
2026-03-07,17:00,19:00,Tax Time,7812 Lake June Rd,100,Dallas,TX,75217
2026-03-06,15:00,17:00,Tax Time,4330 Gannon Ln,C,Dallas,TX,75237
2026-03-13,15:00,17:00,Tax Time,712 W Pipeline Rd,,Hurst,TX,76053
2026-03-20,15:00,17:00,Tax Time,11055 Dennis Rd,23,Dallas,TX,75229
2026-03-07,12:00,14:00,Tax Time,11361 Mccree Rd,130,Dallas,TX,75238
2026-03-07,17:00,19:00,Tax Time,1433 W Kingsley Rd,103,Garland,TX,75044
2026-02-27,15:00,17:00,Tax Time,1450 W Pleasant Run Rd,Suite 108,Lancaster,TX,75146
2026-03-07,12:00,14:00,Tax Time,10325 Lake June Rd,,Dallas,TX,75217
2026-03-21,12:00,14:00,Tax Time,9009 Bruton Rd,,Dallas,TX,75217
2026-02-28,12:00,14:00,Tax Time,541 W Jefferson Blvd,,Dallas,TX,75208
2026-03-06,15:00,17:00,Tax Time,3551 N Belt Line Rd,,Irving,TX,75062
2026-03-07,12:00,14:00,Tax Time,4025 E Belknap St,B,Haltom City,TX,76111
2026-03-13,15:00,17:00,Tax Time,6306 Meadowbrook Dr,,Fort Worth,TX,76112
2026-03-21,11:00,13:00,Tax Time,805 N Belt Line Rd,,Irving,TX,75061
2026-02-28,17:00,19:00,Tax Time,200 W Jefferson Blvd,Unit A,Dallas,TX,75208
2026-03-14,12:00,14:00,Tax Time,3939 S Polk St,202,Dallas,TX,75224
2026-02-27,15:00,17:00,Tax Time,3731 State Hwy 31 W,Suite D,Corsicana,TX,75110
2026-03-20,15:00,17:00,Tax Time,6155 Samuell Blvd,120,Dallas,TX,75228
2026-03-14,17:00,19:00,Tax Time,2223 Singleton Blvd,,Dallas,TX,75212
2026-03-07,17:00,19:00,Tax Time,3530 Denton Hwy,,Haltom City,TX,76117
2026-03-21,16:00,18:00,Tax Time,1816 W Irving Blvd,,Irving,TX,75061
