Date,Time,District Description,Address,Address 2,City,State,ZIP,Confirmation?
"Saturday, March 14, 2026",12 - 2pm,Tax Time,2819 W 55th St,,Chicago,IL,60632,
"Saturday, March 14, 2026",12 - 2pm,Tax Time,3248 W Lawrence Ave,,Chicago,IL,60625,
"Saturday, March 14, 2026",4pm - 6pm,Tax Time,4705 N Pulaski Road,Suite 104,Chicago,IL,60630,
"Saturday, March 14, 2026",4:30pm - 6:30pm,Tax Time,5858 S Kedzie Ave,,Chicago,IL,60629,
"Saturday, March 14, 2026",9:30am-1:30p,ST Pat festival,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,
"Friday, March 20, 2026",4:30pm - 6:30pm,Tax Time,18226 Kedzie Ave,,Hazel Crest,IL,60429,
"Friday, March 20, 2026",4:30pm - 6:30pm,Tax Time,77 Clock Tower Plaza,,Elgin,IL,60120,
"Saturday, March 21, 2026",12 - 2pm,Tax Time,2601 W 95th St,Unit A,Evergreen Park,IL,60805,
"Saturday, March 21, 2026",4:30pm - 6:30pm,Tax Time,2317 S Cicero Ave,Suite A,Cicero,IL,60804,
"Saturday, March 21, 2026",4pm - 6pm,Tax Time,313 Howard St,Ste 315,Evanston,IL,60202,
"Friday, March 27, 2026",4:30pm - 6:30pm,Tax Time,3735 W 26th Street,,Chicago,IL,60623,
"Friday, February 27, 2026",3pm - 5pm,,3253 Buford Hwy,Suite 780,Atlanta,GA,30329,
"Friday, February 27, 2026",4pm - 6pm,,1500 Pleasant Hill Rd,110,Duluth,GA,30096,
"Saturday, February 28, 2026",3pm - 5pm,,1085 Holcomb Bridge Rd,140,Roswell,GA,30076,
"Saturday, February 28, 2026",12 - 2pm,,2470 Mlk Jr Dr SW,B,Atlanta,GA,30311,
"Saturday, February 28, 2026",12 - 2pm,,4650 Jimmy Carter Blvd,,Norcross,GA,30093,
"Friday, March 6, 2026",2pm - 4pm,,5658 Riverdale Rd,U,Atlanta,GA,30349,
"Saturday, March 7, 2026",4:30pm - 6:30pm,,5855 Buford Hwy NE,F,Doraville,GA,30340,
"Saturday, March 7, 2026",4:30pm - 6:30pm,,1985 Campbellton Rd SW,4,Atlanta,GA,30311,
"Saturday, March 7, 2026",12 - 2pm,,2841 Greenbriar Pkwy SW,N450,Atlanta,GA,30331,
"Saturday, March 7, 2026",4:30pm - 6:30pm,,2078 Beaver Ruin Rd,Suite 400,Norcross,GA,30071,
"Saturday, March 7, 2026",12 - 2pm,,5209 Buford Hwy NE,Suite #58,Doraville,GA,30340,
"Saturday, March 7, 2026",12 - 2pm,,5944 Buford Hwy,Unit 2,Norcross,GA,30071,
"Friday, March 13, 2026",12 - 2pm,,65 Lawrenceville Suwanee Rd,12,Lawrenceville,GA,30044,
"Friday, March 13, 2026",12 - 2pm,,971 N Hairston Rd,A-10,Stone Mountain,GA,30083,
"Friday, March 13, 2026",12 - 2pm,,8438 Hospital Dr,,Douglasville,GA,30134,
"Saturday, March 14, 2026",4:30pm - 6:30pm,,1245 Veterans Memorial Hwy Sw,31,Mableton,GA,30126,
"Saturday, March 14, 2026",4:30pm - 6:30pm,,1241 Moreland Ave SE,D,Atlanta,GA,30316,
"Saturday, March 14, 2026",12 - 2pm,,504 Atlanta Hwy,,Gainesville,GA,30501,
"Saturday, March 14, 2026",12 - 2pm,,4140 Jonesboro Rd,A3-4,Forest Park,GA,30297,
"Saturday, March 14, 2026",12 - 2pm,,3565 Austell Rd SW,Unit 1025,Marietta,GA,30008,
"Friday, February 27, 2026",4pm-6pm,,25857 Lahser Rd,,Southfield,MI,48033,
"Saturday, February 28, 2026",4pm-6pm,,9701 Harper Ave,Unit A,Detroit,MI,48213,
"Friday, March 6, 2026",4:30pm - 6:30pm,,3631 Miller Rd,,Flint,MI,48503,
"Friday, March 6, 2026",4:30pm - 6:30pm,,20577 15 Mile Rd,,Clinton Township,MI,48035,
"Saturday, March 7, 2026",4:30pm - 6:30pm,,12029 Woodward Ave,,Highland Park,MI,48203,
"Saturday, March 7, 2026",12 - 2pm,,50 E Walton Blvd,,Pontiac,MI,48340,
"Saturday, March 7, 2026",4pm - 6pm,,759 Baldwin Ave,,Pontiac,MI,48340,
"Saturday, March 7, 2026",4:30pm - 6:30pm,,15371 Merriman Rd,,Livonia,MI,48154,
"Saturday, March 7, 2026",12 - 2pm,,25043 Grand River Ave,,Redford,MI,48240,
"Saturday, March 7, 2026",12 - 2pm,,25429 Van Dyke Ave,,Center Line,MI,48015,
"Saturday, March 7, 2026",12 - 2pm,,14331 Livernois Ave,,Detroit,MI,48238,
"Saturday, March 7, 2026",4pm - 6pm,,7584 E 9 Mile Rd,102,Warren,MI,48091,
"Friday, March 13, 2026",12 - 2pm,,7431 W Vernor Hwy,C,Detroit,MI,48209,
"Friday, March 13, 2026",4:30pm - 6:30pm,,35824 Van Dyke Ave,,Sterling Hts,MI,48312,
"Friday, March 13, 2026",5pm - 7pm,,30538 23 Mile Rd,Unit 1,Chesterfield,MI,48047,
"Friday, March 13, 2026",4:30pm - 6:30pm,,35705 Van Born Rd,,Romulus,MI,48174,
"Saturday, March 14, 2026",4:30pm - 6:30pm,,4659 Washtenaw Ave,,Ann Arbor,MI,48108,
"Saturday, March 14, 2026",4:30pm - 6:30pm,,22816 John R Rd,,Hazel Park,MI,48030,
"Saturday, March 14, 2026",12 - 2pm,,28668 Dequindre Rd,,Warren,MI,48092,
"Saturday, March 14, 2026",4:30pm - 6:30pm,,6097 Rawsonville Rd,,Belleville,MI,48111,
"Saturday, March 14, 2026",4pm - 6pm,,39075 Garfield Rd,,Clinton Twp,MI,48038,
"Saturday, March 14, 2026",12 - 2pm,,395 N Groesbeck Hwy,Ste C,Mount Clemens,MI,48043,
"Saturday, March 14, 2026",4pm - 6pm,,1887 Southfield Rd,,Lincoln Park,MI,48146,
"Saturday, March 14, 2026",4pm - 6pm,,27353 Cherry Hill Rd,,Inkster,MI,48141,
